map
	ez_square
end

value
	0.98355,14.82967,2.91160,88.18266,28.10001,226.59990,0.00000,-5.31784,0.09000,-6.91432,0,0,0,1,0,1,
	0.99031,14.72373,2.90700,88.04393,28.60001,226.30000,0.00000,-5.29718,-0.23000,-6.93616,0,0,0,1,0,1,
	0.99951,14.72373,2.90700,88.04393,29.20001,225.80000,0.00000,-5.29718,-0.23000,-6.93616,0,0,0,1,0,1,
	1.00524,14.72373,2.90700,88.04393,29.50001,225.55000,0.00000,-5.29718,-0.23000,-6.93616,0,0,0,1,0,1,
	1.01089,14.62000,2.89600,87.90295,29.85001,225.25000,0.00000,-5.18647,-0.55000,-7.04902,0,0,0,1,0,1,
	1.01712,14.62000,2.89600,87.90295,30.25001,224.85000,0.00000,-5.18647,-0.55000,-7.04902,0,0,0,1,0,1,
	1.02184,14.62000,2.89600,87.90295,30.55000,224.50000,0.00000,-5.18647,-0.55000,-7.04902,0,0,0,1,0,1,
	1.03432,14.51853,2.87860,87.75974,31.25001,223.64990,0.00000,-5.07340,-0.87000,-7.16014,0,0,0,1,0,1,
	1.03923,14.51853,2.87860,87.75974,31.50001,223.29990,0.00000,-5.07340,-0.87000,-7.16014,0,0,0,1,0,1,
	1.04370,14.51853,2.87860,87.75974,31.70001,222.94990,0.00000,-5.07340,-0.87000,-7.16014,0,0,0,1,0,1,
	1.04846,14.51853,2.87860,87.75974,32.05001,222.49990,0.00000,-5.07340,-0.87000,-7.16014,0,0,0,1,0,1,
	1.05191,14.42153,2.85480,87.61244,32.25001,222.14990,0.00000,-4.84986,-1.19000,-7.36497,0,0,0,1,0,1,
	1.05581,14.42153,2.85480,87.61244,32.45001,221.79990,0.00000,-4.84986,-1.19000,-7.36497,0,0,0,1,0,1,
	1.06067,14.42153,2.85480,87.61244,32.70002,221.29990,0.00000,-4.84986,-1.19000,-7.36497,0,0,0,1,0,1,
	1.06727,14.42153,2.85480,87.61244,33.00000,220.59990,0.00000,-4.84986,-1.19000,-7.36497,0,0,0,1,0,1,
	1.07488,14.32893,2.82460,87.46137,33.40001,219.74990,0.00000,-4.63010,-1.51000,-7.55333,0,0,0,1,0,1,
	1.08035,14.32893,2.82460,87.46137,33.65001,219.04990,0.00000,-4.63010,-1.51000,-7.55333,0,0,0,1,0,1,
	1.08709,14.32893,2.82460,87.46137,34.00001,218.19990,0.00000,-4.63010,-1.51000,-7.55333,0,0,0,1,0,1,
	1.09331,14.24211,2.78800,87.30576,34.25001,217.44990,0.00000,-4.34124,-1.83000,-7.78063,0,0,0,1,0,1,
