map
	ez_stream
end

value
	21.83586,-38.71827,-111.06510,-200.60340,13.35004,179.10190,0.00000,1.96580,-8.64541,-43.32272,0,0,0,1,0,0,
	21.84033,-38.71827,-111.06510,-200.60340,13.35004,178.95180,0.00000,1.96580,-8.64541,-43.32272,0,0,0,1,0,0,
	21.84416,-38.71827,-111.06510,-200.60340,13.40004,178.85190,0.00000,1.96580,-8.64541,-43.32272,0,0,0,1,0,0,
	21.84817,-38.71827,-111.06510,-200.60340,13.40004,178.75190,0.00000,1.96580,-8.64541,-43.32272,0,0,0,1,0,0,
	21.85283,-38.67139,-111.24440,-201.46970,13.45004,178.55190,0.00000,2.34402,-8.96541,-43.31448,0,0,0,1,0,0,
	21.85886,-38.67139,-111.24440,-201.46970,13.45004,178.35190,0.00000,2.34402,-8.96541,-43.31448,0,0,0,1,0,0,
	21.86413,-38.67139,-111.24440,-201.46970,13.50004,178.15190,0.00000,2.34402,-8.96541,-43.31448,0,0,0,1,0,0,
	21.87426,-38.61543,-111.43010,-202.33570,13.60004,177.70180,0.00000,2.79789,-9.28541,-43.29984,0,0,0,1,0,0,
	21.87828,-38.61543,-111.43010,-202.33570,13.60004,177.55180,0.00000,2.79789,-9.28541,-43.29984,0,0,0,1,0,0,
	21.88392,-38.61543,-111.43010,-202.33570,13.65004,177.30180,0.00000,2.79789,-9.28541,-43.29984,0,0,0,1,0,0,
	21.88831,-38.61543,-111.43010,-202.33570,13.70004,177.05180,0.00000,2.79789,-9.28541,-43.29984,0,0,0,1,0,0,
	21.89320,-38.54284,-111.62220,-203.20080,13.75004,176.75180,0.00000,3.62963,-9.60541,-43.25700,0,0,0,1,0,0,
