map
	ez_tower
end

value
	0.648,74.978,0.900,-72.238,18.000,-2.000,0.000,-0.145,0.000,7.699,1,0,0,0,0,0,
	0.652,74.978,0.900,-72.238,18.200,-2.050,0.000,-0.145,0.000,7.699,1,0,0,0,0,0,
	0.657,74.978,0.900,-72.238,18.350,-2.050,0.000,-0.145,0.000,7.699,1,0,0,0,0,0,
	0.661,74.975,0.900,-72.084,18.500,-2.100,0.000,-0.160,0.000,7.699,1,0,0,0,0,0,
	0.666,74.975,0.900,-72.084,18.650,-2.150,0.000,-0.160,0.000,7.699,1,0,0,0,0,0,
	0.672,74.975,0.900,-72.084,18.900,-2.200,0.000,-0.160,0.000,7.699,1,0,0,0,0,0,
	0.677,74.975,0.900,-72.084,19.050,-2.250,0.000,-0.160,0.000,7.699,1,0,0,0,0,0,
	0.682,74.971,0.900,-71.930,19.200,-2.300,0.000,-0.177,0.000,7.699,1,0,0,0,0,0,
	0.686,74.971,0.900,-71.930,19.400,-2.300,0.000,-0.177,0.000,7.699,1,0,0,0,0,0,
	0.691,74.971,0.900,-71.930,19.550,-2.350,0.000,-0.177,0.000,7.699,1,0,0,0,0,0,
	0.695,74.971,0.900,-71.930,19.700,-2.400,0.000,-0.177,0.000,7.699,1,0,0,0,0,0,
	0.699,74.967,0.900,-71.776,19.800,-2.450,0.000,-0.194,0.000,7.699,1,0,0,0,0,0,
	0.704,74.967,0.900,-71.776,20.000,-2.500,0.000,-0.194,0.000,7.699,1,0,0,0,0,0,
	0.708,74.967,0.900,-71.776,20.150,-2.500,0.000,-0.194,0.000,7.699,1,0,0,0,0,0,
	0.711,74.967,0.900,-71.776,20.250,-2.550,0.000,-0.194,0.000,7.699,1,0,0,0,0,0,
	0.718,74.963,0.900,-71.622,20.500,-2.600,0.000,-0.211,0.000,7.698,1,0,0,0,0,0,
	0.723,74.963,0.900,-71.622,20.600,-2.650,0.000,-0.211,0.000,7.698,1,0,0,0,0,0,
	0.727,74.963,0.900,-71.622,20.800,-2.700,0.000,-0.211,0.000,7.698,1,0,0,0,0,0,
	0.732,74.963,0.900,-71.622,20.950,-2.700,0.000,-0.211,0.000,7.698,1,0,0,0,0,0,
	0.736,74.963,0.900,-71.622,21.100,-2.750,0.000,-0.211,0.000,7.698,1,0,0,0,0,0,
	0.741,74.958,0.900,-71.468,21.250,-2.800,0.000,-0.230,0.000,7.698,1,0,0,0,0,0,
	0.749,74.958,0.900,-71.468,21.500,-2.850,0.000,-0.230,0.000,7.698,1,0,0,0,0,0,
	0.753,74.958,0.900,-71.468,21.600,-2.900,0.000,-0.230,0.000,7.698,1,0,0,0,0,0,
	0.756,74.958,0.900,-71.468,21.700,-2.900,0.000,-0.230,0.000,7.698,1,0,0,0,0,0,
	0.761,74.953,0.900,-71.314,21.850,-2.950,0.000,-0.249,0.000,7.697,1,0,0,0,0,0,
	0.766,74.953,0.900,-71.314,22.050,-3.050,0.000,-0.249,0.000,7.697,1,0,0,0,0,0,
	0.770,74.953,0.900,-71.314,22.150,-3.050,0.000,-0.249,0.000,7.697,1,0,0,0,0,0,
	0.775,74.953,0.900,-71.314,22.300,-3.100,0.000,-0.249,0.000,7.697,1,0,0,0,0,0,
	0.781,74.948,0.900,-71.160,22.500,-3.200,0.000,-0.268,0.000,7.697,1,0,0,0,0,0,
	0.787,74.948,0.900,-71.160,22.650,-3.250,0.000,-0.268,0.000,7.697,1,0,0,0,0,0,
	0.790,74.948,0.900,-71.160,22.800,-3.250,0.000,-0.268,0.000,7.697,1,0,0,0,0,0,
