map
	ez_tower
end

value
	48.599,-73.220,-66.885,25.343,25.050,-575.000,0.000,25.121,5.210,-30.821,0,0,1,0,0,1,
	48.602,-73.220,-66.885,25.343,25.000,-572.900,0.000,25.121,5.210,-30.821,0,0,1,0,0,1,
	48.605,-72.814,-66.787,24.664,25.000,-571.600,0.000,20.293,4.890,-33.945,0,0,1,0,0,1,
	48.609,-72.814,-66.787,24.664,24.950,-569.800,0.000,20.293,4.890,-33.945,0,0,1,0,0,1,
	48.613,-72.814,-66.787,24.664,24.950,-568.450,0.000,20.293,4.890,-33.945,0,0,1,0,0,1,
	48.616,-72.814,-66.787,24.664,24.900,-566.200,0.000,20.293,4.890,-33.945,0,0,1,0,0,1,
	48.619,-72.814,-66.787,24.664,24.900,-564.800,0.000,20.293,4.890,-33.945,0,0,1,0,0,1,
	48.624,-72.814,-66.787,24.664,24.850,-562.900,0.000,20.293,4.890,-33.945,0,0,1,0,0,1,
	48.627,-72.535,-66.695,23.932,24.800,-561.050,0.000,13.951,4.570,-36.624,0,0,1,0,0,1,
	48.632,-72.535,-66.695,23.932,24.800,-558.700,0.000,13.951,4.570,-36.624,0,0,1,0,0,1,
	48.636,-72.535,-66.695,23.932,24.700,-556.350,0.000,13.951,4.570,-36.624,0,0,1,0,0,1,
	48.640,-72.535,-66.695,23.932,24.650,-554.500,0.000,13.951,4.570,-36.624,0,0,1,0,0,1,
	48.647,-72.367,-66.610,23.171,24.550,-551.800,0.000,8.397,4.250,-38.060,0,0,1,0,0,1,
	48.653,-72.367,-66.610,23.171,24.450,-548.250,0.000,8.397,4.250,-38.060,0,0,1,0,0,1,
	48.660,-72.367,-66.610,23.171,24.350,-545.700,0.000,8.397,4.250,-38.060,0,0,1,0,0,1,
	48.664,-72.367,-66.610,23.171,24.250,-543.700,0.000,8.397,4.250,-38.060,0,0,1,0,0,1,
	48.667,-72.346,-66.532,22.400,24.150,-542.500,0.000,1.089,3.930,-38.533,0,0,1,0,0,1,
	48.671,-72.346,-66.532,22.400,24.050,-540.550,0.000,1.089,3.930,-38.533,0,0,1,0,0,1,
	48.675,-72.346,-66.532,22.400,24.000,-539.450,0.000,1.089,3.930,-38.533,0,0,1,0,0,1,
	48.678,-72.346,-66.532,22.400,23.900,-538.000,0.000,1.089,3.930,-38.533,0,0,1,0,0,1,
	48.683,-72.346,-66.532,22.400,23.800,-536.650,0.000,1.089,3.930,-38.533,0,0,1,0,0,1,
	48.686,-72.418,-66.460,21.635,23.700,-534.950,0.000,-3.642,3.610,-38.256,0,0,1,0,0,1,
	48.690,-72.418,-66.460,21.635,23.650,-533.700,0.000,-3.642,3.610,-38.256,0,0,1,0,0,1,
	48.695,-72.418,-66.460,21.635,23.600,-532.500,0.000,-3.642,3.610,-38.256,0,0,1,0,0,1,
	48.700,-72.418,-66.460,21.635,23.500,-531.100,0.000,-3.642,3.610,-38.256,0,0,1,0,0,1,
	48.703,-72.418,-66.460,21.635,23.400,-529.750,0.000,-3.642,3.610,-38.256,0,0,1,0,0,1,
	48.707,-72.582,-66.394,20.886,23.350,-528.750,0.000,-8.192,3.290,-37.433,0,0,1,0,0,1,
	48.711,-72.582,-66.394,20.886,23.300,-527.750,0.000,-8.192,3.290,-37.433,0,0,1,0,0,1,
	48.716,-72.582,-66.394,20.886,23.250,-526.850,0.000,-8.192,3.290,-37.433,0,0,1,0,0,1,
	48.721,-72.582,-66.394,20.886,23.200,-525.800,0.000,-8.192,3.290,-37.433,0,0,1,0,0,1,
