map
	ez_stream
end

value
	0.499,-0.130,0.900,-3.476,14.450,354.400,0.000,-0.712,0.000,7.667,1,0,0,0,0,0,
	0.505,-0.130,0.900,-3.476,14.500,354.350,0.000,-0.712,0.000,7.667,1,0,0,0,0,0,
	0.510,-0.130,0.900,-3.476,14.550,354.350,0.000,-0.712,0.000,7.667,1,0,0,0,0,0,
	0.513,-0.130,0.900,-3.476,14.550,354.350,0.000,-0.712,0.000,7.667,1,0,0,0,0,0,
	0.518,-0.145,0.900,-3.322,14.600,354.350,0.000,-0.717,0.000,7.667,1,0,0,0,0,0,
	0.524,-0.145,0.900,-3.322,14.650,354.300,0.000,-0.717,0.000,7.667,1,0,0,0,0,0,
	0.527,-0.145,0.900,-3.322,14.650,354.300,0.000,-0.717,0.000,7.667,1,0,0,0,0,0,
	0.533,-0.145,0.900,-3.322,14.700,354.300,0.000,-0.717,0.000,7.667,1,0,0,0,0,0,
	0.536,-0.159,0.900,-3.169,14.700,354.300,0.000,-0.723,0.000,7.666,1,0,0,0,0,0,
	0.540,-0.159,0.900,-3.169,14.700,354.300,0.000,-0.723,0.000,7.666,1,0,0,0,0,0,
	0.545,-0.159,0.900,-3.169,14.750,354.300,0.000,-0.723,0.000,7.666,1,0,0,0,0,0,
	0.549,-0.159,0.900,-3.169,14.750,354.300,0.000,-0.723,0.000,7.666,1,0,0,0,0,0,
	0.553,-0.159,0.900,-3.169,14.750,354.300,0.000,-0.723,0.000,7.666,1,0,0,0,0,0,
	0.557,-0.174,0.900,-3.016,14.750,354.300,0.000,-0.728,0.000,7.666,1,0,0,0,0,0,
	0.562,-0.174,0.900,-3.016,14.750,354.300,0.000,-0.728,0.000,7.666,1,0,0,0,0,0,
	0.567,-0.174,0.900,-3.016,14.750,354.300,0.000,-0.728,0.000,7.666,1,0,0,0,0,0,
	0.571,-0.174,0.900,-3.016,14.750,354.300,0.000,-0.728,0.000,7.666,1,0,0,0,0,0,
	0.577,-0.188,0.900,-2.862,14.750,354.300,0.000,-0.732,0.000,7.665,1,0,0,0,0,0,
	0.582,-0.188,0.900,-2.862,14.750,354.300,0.000,-0.732,0.000,7.665,1,0,0,0,0,0,
	0.586,-0.188,0.900,-2.862,14.750,354.300,0.000,-0.732,0.000,7.665,1,0,0,0,0,0,
	0.591,-0.188,0.900,-2.862,14.750,354.300,0.000,-0.732,0.000,7.665,1,0,0,0,0,0,
	0.595,-0.188,0.900,-2.862,14.750,354.300,0.000,-0.732,0.000,7.665,1,0,0,0,0,0,
	0.599,-0.203,0.900,-2.709,14.750,354.300,0.000,-0.736,0.000,7.665,1,0,0,0,0,0,
	0.603,-0.203,0.900,-2.709,14.750,354.300,0.000,-0.736,0.000,7.665,1,0,0,0,0,0,
	0.608,-0.203,0.900,-2.709,14.750,354.300,0.000,-0.736,0.000,7.665,1,0,0,0,0,0,
